19
649 -7.632603327982183795e-05
1890 6.287476972317558844e-06
1845 4.741206207041938071e-06
2147 2.022930939637493342e-05
2188 2.231326447723169494e-05
779 -3.823085193519425852e-06
1847 3.142733625566762767e-06
584 0.000104998984873308138
867 -5.62236692693330147e-05
2380 3.659011710807281894e-05
2256 1.389514527185127887e-05
579 5.015805098960981551e-05
1932 1.336042263864588822e-05
2319 1.147242870853972855e-05
2419 9.320746834262100611e-06
878 -0.0004208300124830777981
600 -5.158757310752855584e-05
2014 1.596360919728986245e-05
2080 1.342351320714212582e-05
